"","x"
"875",-0.14368447239609
"876",-0.150501578300029
"877",-0.146170033157642
"878",-0.0862574346780782
"879",-0.172639364568939
"880",-0.193988805166036
"881",-0.106345063162038
"882",-0.074573319690236
"883",-0.109376909819939
"884",-0.149763839242039
"885",-0.0727201014447879
"886",-0.0208155013977047
"887",-0.168560894416696
"888",-0.0310064159407772
"889",-0.0513602681758425
"890",-0.185960447221239
"891",-0.0470083898956134
"892",-0.134945164745711
"893",-0.0666806718099802
"894",-0.0893958688625142
"895",-0.214592480952678
"896",-0.0894606846197532
"897",-0.102360498198032
"898",-0.10234908447502
"899",0.00690850282680258
"900",-0.171402857928894
"901",-0.143310480698816
"902",-0.0341275743956699
"903",0.0210921112655959
"904",-0.103252649273293
"905",-0.072511891856407
"906",-0.03216069431315
"907",-0.110726732426926
"908",-0.0622616756689871
"909",-0.14384283197031
"910",-0.230517343680573
"911",-0.0497583847078328
"912",-0.106737082133326
"913",-0.0523619721835496
"914",-0.148749622134602
"915",-0.0900363707283224
"916",-0.0701383567892235
"917",-0.0744974793499717
"918",-0.0763297527153129
"919",-0.0696027369772921
"920",-0.248112116001778
"921",-0.107782418136945
"922",-0.0669613051332694
"923",-0.16722862919354
"924",0.00870452602029268
"925",-0.0196185972549886
"926",-0.128465346483904
"927",-0.0970732970837966
"928",-0.178641946173116
"929",-0.0505312041462846
"930",-0.0636590384087465
"931",-0.0637890535921735
"932",-0.100644324254067
"933",-0.159074823497564
"934",-0.100841145101749
"935",-0.0261518090458016
"936",-0.151975617492946
"937",-0.122595756192734
"938",-0.0279101624182849
"939",-0.0632911278423069
"940",-0.140661644646669
"941",-0.143428333830942
"942",-0.327213347663038
"943",-0.0521077118655123
"944",-0.0609832339360388
"945",-0.133771013621674
"946",-0.0912802484399918
"947",-0.0708420110985295
"948",-0.0776413194861505
"949",-0.105985120889817
"950",-0.135352517351571
"951",-0.127753914169135
"952",-0.175199137873681
"953",-0.133130732828493
"954",-0.128141307804813
"955",-0.106421917212458
"956",-0.0433177715768699
"957",0.0111818166258173
"958",-0.038857296355206
"959",-0.0857012630324372
"960",-0.0879220172793561
"961",-0.0754972026907053
"962",-0.24887433284391
"963",-0.0807097320822795
"964",-0.141984418673493
"965",-0.0509469626877257
"966",-0.0482222335691409
"967",-0.0972967621077295
"968",-0.197383909450007
"969",-0.0544202449674575
"970",-0.246795163231759
"971",-0.16276204211677
"972",-0.10331814806554
"973",-0.0402012474206183
"974",-0.0567436713507613
"975",0.00416685591858907
"976",-0.149078967802403
"977",-0.0598004889243724
"978",-0.11737974507353
"979",0.114152434748327
"980",-0.126583549155296
"981",-0.00684291663686438
"982",-0.0698572424812206
"983",-0.0976633792313345
"984",-0.0562357766436575
"985",-0.0916830796236414
"986",-0.204936097212333
"987",-0.105813862845059
"988",-0.0369537020124022
"989",-0.0674715091241371
"990",-0.149169049812496
"991",-0.0773675043967908
"992",-0.0738092720075608
"993",-0.112939637125016
"994",-0.124498940063574
"995",-0.0980394780163695
"996",-0.0530852566481997
"997",-0.147315723110404
"998",-0.0707079273367495
"999",-0.182413274847882
"1000",-0.0330119147087306
